id,name,gender,member_since,year_of_birth,place_of_birth,genres
777,Daniel Abraham,male,April 27 2015,1980,Kiribati,Fantasy$Science Fiction
778,Christopher Scotton,male,October 19 2019,1984,Ukraine,Science Fiction
779,Angie Sage,female,November 8 2015,1982,Guinea,Young Adult
780,Annabel Joseph,female,January 13 2018,1996,Zambia,Romance
781,Anne O'Gleadra,female,November 7 2014,1955,Scottish,Gay And Lesbian$Science Fiction
782,Maya Banks,female,June 2 2008,1976,San Marino,Romance
783,Missouri Dalton,female,November 17 2015,1977,Emirate,Science Fiction
784,Nicholas Monsarrat,male,January 13 2011,1979,Vatican,Fiction$Biography
785,Philippa Gregory,female,November 14 2019,1992,Iceland,Fiction
786,Per Petterson,male,August 1 2013,1974,Argentina,Fiction
787,Peter Cameron,male,January 1 2009,1992,Latvia,Fiction
788,Karen Russell,female,April 17 2009,1984,Tanzania,Fiction$Short Stories$Humor
789,Erin A. Craig,female,October 4 2014,1994,Bahamas,Young Adult
790,Lloyd C. Douglas,male,June 19 2011,1963,El Salvador,Fiction$Religion Spirituality$Historical
791,Ava Lore,female,March 13 2015,1970,Tunisia,Ebooks
792,Lynda Chance,male,April 18 2015,1995,Nauru,Romance$Erotica
793,Sara Poole,female,November 17 2019,1986,Belize,Historical
794,C.J. Ellisson,female,May 5 2012,1954,Moldova,Fantasy$Thriller
795,Linda Kage,female,August 25 2014,1998,Sudan,Romance
796,Gloria Naylor,female,May 22 2016,1976,Kosovo,Fiction
797,Emma   Louise,male,October 23 2008,1953,Scottish,Romance$Chick Lit
798,Sarah Dessen,male,September 26 2014,1974,Namibia,Fiction
799,Holy Ghost Writer,male,December 26 2007,1997,Bissau,Mystery
800,Patrick J. Buchanan,male,November 3 2011,1992,Indonesia,Politics$History
801,Sarah Ahiers,male,July 15 2010,1972,England,Young Adult$Fantasy
802,Laurie Lee,male,December 12 2017,1971,Laos,Biographies Memoirs$Poetry$Fiction
803,Young-Ha Kim,male,September 13 2014,1987,Norway,Science Fiction$Contemporary
804,Rene Folsom,female,January 20 2017,1988,Andorra,Romance$Paranormal
805,Koethi Zan,female,November 18 2013,1983,Burundi,Crime
806,J.A. London,female,September 18 2016,1966,Lebanon,Young Adult
807,Sean Hayden,male,March 15 2008,1951,Trinidad,Horror$Science Fiction
808,Sandrine Gasq-Dion,male,August 2 2011,1953,Chile,Romance
809,Jay Crownover,female,January 22 2019,1995,Italy,Romance
810,Susan Sofayov,male,August 19 2013,1978,Argentina,Contemporary
811,Ellen Wittlinger,female,May 3 2014,1963,Taiwan,Young Adult
812,Zadie Smith,female,April 18 2013,1962,Niger,Science Fiction$Essays
813,Shannon Delany,female,July 13 2019,1950,Cameroon,Young Adult
814,Stephanie Perkins,male,July 6 2014,1965,Korea,Young Adult
815,Eugene B. Sledge,male,October 28 2016,1962,New Zealand,Nonfiction$History$Biography
816,Victoria Dougherty,female,August 16 2019,1954,Solomon,Thriller
817,John Simpson,male,February 21 2014,1985,Nicaragua,Gay Lesbian$Romance
818,Wendy Higgins,female,June 21 2013,1951,Suriname,Young Adult
819,Lloyd Alexander,male,May 7 2010,1958,Kazakhstan,Children S$Science Fiction
820,Summer Devon,female,May 18 2017,1960,Norway,Romance
821,James Hogg,male,November 7 2009,1965,Austria,Historical$Poetry$Short Stories
822,Lisa Mantchev,female,July 10 2014,1959,Togo,Young Adult
823,Miriam Forster,female,May 11 2010,1976,Botswana,Young Adult
824,Beth Flynn,female,August 9 2019,1989,Congo,Romance
825,John Grisham,male,April 6 2013,1991,USA,Thriller
826,Allyson Lindt,female,June 20 2007,1975,Thailand,Romance
827,Mark Z. Danielewski,male,May 4 2012,1968,St Lucia,Fiction$Thriller
828,John A.   Saunders,male,December 27 2018,1973,Chile,Mystery
829,Nicole  Castle,female,September 24 2017,1970,New Zealand,Romance$Gay And Lesbian
830,Hiromu Arakawa,female,April 25 2015,1962,Tunisia,Manga$Fantasy$Contemporary
831,Isabel Allende,female,March 16 2009,1972,Argentina,Fiction$Biographies Memoirs
832,Andrew  Smith,male,August 28 2012,1975,Gambia,Young Adult
833,Z.A. Maxfield,male,December 26 2015,1977,Bhutan,Gay And Lesbian$Romance
834,Margaret Mallory,female,May 3 2007,1964,Iceland,Romance
835,Suzanne Wright,female,June 9 2016,1962,Portugal,Romance
836,Chris Weitz,male,November 24 2009,1968,Mongolia,Young Adult
837,Kate L. Mary,male,March 14 2012,1967,Malaysia,Science Fiction
838,Michelle K. Pickett,female,October 10 2012,1954,Moldova,Young Adult
839,Adrian Mendoza,male,November 5 2018,1994,Belarus,Science Fiction
840,Greta Burroughs,female,August 22 2017,1982,Armenia,Young Adult
841,Janet Chapman,female,August 23 2012,1995,Indonesia,Romance$Fantasy
842,Cora Carmack,female,November 8 2013,1973,Uzbekistan,Romance
843,Michael  Barnett,male,February 27 2013,1993,Nepal,Fiction
844,Gary D. Schmidt,male,February 28 2017,1972,Belgium,Children S Books$Fiction
845,Michael James Gallagher,male,September 12 2014,1950,United Kingdom,Science Fiction
846,Patrick Ness,male,May 19 2009,1960,East Timor,Young Adult
847,Winston Graham,male,August 11 2013,1976,Holland,Fiction
848,Amy A. Bartol,female,March 26 2017,1985,Tobago,Romance
849,Betsy Cornwell,female,March 4 2009,1967,Zimbabwe,Fiction
850,James L. Rubart,male,April 26 2009,1957,France,Contemporary
851,John Green,male,November 5 2012,1962,San Marino,Fiction
852,Tiffany Clare,female,March 2 2008,1984,Cuba,Romance
853,Christopher  Rice,male,December 22 2016,1972,Guinea,Thriller
854,Polly Horvath,female,September 27 2019,1958,Mauritius,Children S Books
855,Mary Karr,female,August 6 2014,1995,Malawi,Poetry$Biographies Memoirs
856,Brad Meltzer,male,May 10 2015,1971,Korea,Thriller
857,Martin Adil-Smith,male,June 20 2016,1988,Mozambique,Fantasy
858,Gina L. Maxwell,female,February 24 2007,1967,Great Britain,Romance
859,Danielle   Davis,male,October 25 2018,1970,Belize,Children S
860,Chris Cleave,male,January 25 2016,1962,Bahamas,Fiction
861,Nancy S.  Thompson,female,May 18 2017,1954,Welsh,Thriller
862,Laurie Notaro,male,November 19 2010,1998,Hungary,Nonfiction$Biographies Memoirs
863,Jerome K. Jerome,male,December 26 2009,1976,British,Humor
864,Tarian P.S.,male,May 10 2014,1987,Indonesia,Science Fiction
865,Olivia Cunning,female,June 17 2012,1981,Cuba,Romance
866,Julie Ann Walker,female,May 21 2010,1957,Barbados,Romance
867,Jennifer E. Smith,female,September 21 2009,1963,Denmark,Young Adult
868,E.L. Konigsburg,female,March 2 2013,1970,Guyana,Children S Books
869,Thomas Mullen,male,January 21 2015,1992,Tuvalu,Fiction$Historical
870,Kaitlyn Oruska,male,July 3 2017,1951,Laos,Science Fiction$Thriller
871,Julien Jamar,female,October 2 2014,1992,Angola,Fantasy
872,Jenn Reese,male,October 21 2012,1997,Syria,Science Fiction$Children S
873,Emily Brightwell,female,February 24 2008,1974,Canada,Mystery$Historical
874,Leonard Mlodinow,male,December 25 2019,1959,Cameroon,Science Fiction$Children S
875,Mary Doria Russell,female,April 3 2013,1967,Saudi Arabia,Science Fiction$Fiction
876,Joanna Bourne,female,May 16 2019,1990,Moldova,Romance$Historical
877,Cornelia Funke,female,April 17 2014,1956,Chile,Science Fiction
878,Ernst Jünger,male,January 26 2011,1968,Sierra Leone,Fiction$Memoir
879,Robert Charles Wilson,male,January 24 2013,1952,Uganda,Science Fiction
880,M. Pierce,male,December 14 2010,1997,Chad,Romance
881,Martin Waddell,male,October 2 2010,1973,Kyrgyzstan,Children S
882,Nic Schuck,male,February 25 2009,1980,Ireland,Science Fiction$Travel
883,Dusti Bowling,female,April 14 2019,1950,Lithuania,Children S$Young Adult
884,K.A. Tucker,female,April 22 2019,1971,Georgia,Romance
885,Anthony Burgess,male,July 12 2013,1997,Belize,Nonfiction$Fiction
886,Jocelyn Davies,female,September 23 2016,1966,Syria,Young Adult
887,Abraham   Verghese,male,April 2 2014,1960,Slovakia,Fiction
888,George Lucas,male,August 25 2015,1956,St Kitts,Fantasy$Adventure$Science Fiction
889,Julie   Johnson,female,August 9 2015,1956,Brunei,Romance
890,Maki Minami,female,May 22 2011,1955,Brazil,Comics Graphic Novels
891,Sarah Glenn Marsh,female,September 23 2011,1989,Barbados,Young Adult
892,Robert K. Ressler,male,January 11 2016,1952,Angola,Fiction$Psychology$Crime
893,David Gilbert,male,July 24 2009,1959,Malta,Contemporary
894,John M. McIlveen,male,February 21 2013,1995,Portugal,Science Fiction
895,Toni Blake,female,September 16 2010,1954,Nigeria,Romance
896,Kate A. Boorman,male,April 21 2015,1973,Tuvalu,Young Adult$Fantasy
897,Kid Boise,male,May 12 2008,1971,Oman,Science Fiction
898,Sarah M. Ross,female,June 10 2019,1973,Taiwan,Young Adult
899,Matthew Plourde,male,October 9 2011,1996,England,Science Fiction
900,J.L. Paul,male,March 20 2018,1997,Panama,Romance$Young Adult
901,LeighAnn Kopans,female,May 3 2009,1957,Uruguay,Young Adult
902,Ava March,female,July 27 2017,1967,Moldova,Romance
903,Aly Martinez,female,July 23 2014,1967,Japan,Contemporary$Romance
904,Melina Marchetta,female,January 10 2018,1952,Mexico,Fiction$Science Fiction
905,Maj Sjöwall,male,February 1 2008,1967,Liechtenstein,Thriller
906,Emlyn Chand,male,June 4 2015,1979,Slovenia,Romance
907,Danielle Vega,male,November 15 2007,1978,Russia,Horror
908,Dorothy L. Sayers,female,February 7 2007,1966,Pakistan,Mystery$Poetry
909,Church of England,male,August 8 2017,1984,San Marino,Religion
910,Hilary Mantel,female,May 5 2011,1998,Cameroon,Fiction$Historical
911,Chuck Klosterman,male,November 24 2007,1952,Luxembourg,Nonfiction
912,Jhumpa Lahiri,female,April 12 2015,1966,Bulgaria,Fiction
913,Louis Sachar,male,November 9 2019,1976,Cyprus,Children S Books$Fiction
914,Ann Hite,female,January 16 2019,1973,Bosnia,Fiction$Historical
915,Alison Bechdel,female,October 10 2015,1973,Cuba,Comics Graphic Novels
916,Jane Smiley,female,December 26 2008,1954,Jamaica,Fiction$Short Stories
917,Italo Calvino,male,November 16 2018,1962,Algeria,Fiction$Biographies Memoirs
918,M.J. Haag,female,May 7 2011,1959,Bangladesh,Fantasy
919,Nancy Farmer,female,July 18 2016,1957,Holland,Science Fiction$Young Adult
920,Jodi Meadows,male,November 20 2017,1964,Scottish,Young Adult$Science Fiction
921,Paige P. Horne,female,September 13 2018,1950,Iraq,Contemporary
922,Laura Lane McNeal,female,April 4 2015,1996,Grenadines,Science Fiction
923,Shannon A. Thompson,female,October 11 2016,1995,Switzerland,Young Adult
924,Margaret Hodges,female,August 4 2010,1992,Mali,Children S
925,A.A. Milne,male,July 25 2009,1992,Ethiopia,Children S Books$Poetry$Fiction
926,Margaret Mitchell,female,January 11 2007,1971,Singapore,Romance$History$Science Fiction
927,Jenna Black,female,December 28 2016,1987,Somalia,Science Fiction
928,Eric    Weiner,male,December 26 2018,1986,Togo,Travel
929,Gene Zion,male,February 1 2016,1951,St Kitts,Children S Books
930,Jon Messenger,male,September 13 2014,1960,Suriname,Science Fiction
931,Lyndsay Ely,male,June 26 2012,1952,Azerbaijan,Young Adult
932,Jonathan Evison,male,December 27 2015,1987,Panama,Fiction
933,Erin Morgenstern,female,January 2 2015,1980,Sierra Leone,Fiction
934,Jennifer Ashley,female,October 14 2008,1995,India,Romance
935,Marius Gabriel,male,April 23 2008,1980,Palau,Historical
936,Nina G. Jones,female,November 19 2014,1952,Liberia,Erotica$Mystery
937,Sinclair Lewis,male,December 2 2014,1979,Burkina,Science Fiction
938,Richard K. Morgan,male,February 18 2010,1983,Ivory Coast,Science Fiction
939,Dennis Lehane,male,April 27 2013,1973,Iran,Thriller
940,Sarah Crossan,female,May 12 2019,1969,Georgia,Fiction
941,Richard Dreyfuss,male,July 25 2013,1964,Israel,Fiction
942,Elizabeth Gaskell,female,August 13 2008,1990,Montenegro,Science Fiction$Biography
943,Tui T. Sutherland,male,June 13 2009,1953,Brazil,Young Adult$Science Fiction
944,Sharon Cameron,female,January 23 2013,1971,Mali,Historical$Young Adult
945,Erin McCarthy,female,May 20 2015,1958,Bulgaria,Romance$New Adult
946,Joyce Shor Johnson,male,October 27 2016,1958,Somalia,Children S
947,Larry Correia,male,July 9 2014,1951,Barbados,Science Fiction$Horror
948,Kody Keplinger,male,March 14 2017,1976,Malawi,Young Adult$Romance
949,J. Fally,female,October 2 2014,1966,Guatemala,Gay And Lesbian$Romance
950,John Ashbery,male,December 9 2012,1963,Panama,Poetry
951,Jillian Larkin,female,December 13 2014,1981,Australia,Historical$Young Adult
952,J.L. Bryan,male,August 14 2017,1951,Trinidad,Horror
953,Rachel Joyce,female,June 20 2018,1981,Barbados,Fiction
954,Frances Hodgson Burnett,female,July 8 2011,1995,Trinidad,Children S Books$Fiction
955,Nick Hornby,male,February 11 2016,1986,Scottish,Fiction$Entertainment
956,William Hope Hodgson,male,July 23 2016,1993,Sudan,Horror$Fiction$Fantasy
957,Alexa Snow,female,August 6 2007,1975,Nauru,Gay Lesbian
958,Francette Phal,female,April 14 2014,1963,Gabon,Contemporary$Romance
959,Cassie Alexander,female,March 18 2012,1966,Sierra Leone,Paranormal
960,Harold Robbins,male,February 6 2011,1986,Pakistan,Fiction
961,Saya Lopez Ortega,male,June 25 2018,1971,Panama,Contemporary
962,Hannah Hurnard,female,March 8 2009,1970,Papua,Christian Fiction$Religion
963,Sergio de la Pava,male,August 16 2007,1956,Poland,Fiction
964,Becca Fitzpatrick,female,February 8 2016,1967,Bahamas,Young Adult
965,Kate Williams,female,July 24 2013,1970,Bosnia,History$Historical
966,Yossi Klein Halevi,male,November 4 2017,1983,Morocco,Fiction
967,Vanessa Waltz,female,October 20 2007,1956,Slovakia,Romance
968,K.L. Going,female,February 24 2017,1991,Angola,Young Adult
969,L. Sprague de Camp,male,January 26 2018,1989,Denmark,Science Fiction
970,Francine Rivers,female,August 8 2008,1959,Peru,Romance
971,Walter M. Miller Jr.,male,February 7 2018,1951,Kyrgyzstan,Science Fiction
972,Martine Leavitt,female,April 1 2009,1982,Gabon,Children S Books$Science Fiction
973,A.N. Roquelaure,male,November 5 2014,1963,Grenadines,Romance
974,Edward Lee,male,February 24 2011,1969,Zimbabwe,Horror$Fiction
975,Marissa Ames,female,November 19 2016,1994,Tunisia,Fantasy
976,Michele Jaffe,male,March 8 2016,1983,Jamaica,Young Adult
977,Sharon Bala,female,April 19 2018,1983,Lebanon,Science Fiction
978,Marie Lu,male,November 12 2015,1969,Canada,Young Adult$Science Fiction
979,Tom Rath,male,October 5 2008,1991,Turkey,Fiction
980,Dante Alighieri,male,December 4 2012,1971,Jamaica,Poetry$Religion$Philosophy
981,Samuel Beckett,male,June 13 2012,1980,Pakistan,Fiction$Theatre
982,Edith Hamilton,female,May 5 2014,1976,Venezuela,Nonfiction
983,Ella Frank,male,September 1 2015,1976,Paraguay,Romance
984,Mackenzie Crowne,male,March 15 2011,1964,Cyprus,Romance
985,Jean M. Auel,female,May 2 2014,1982,Kyrgyzstan,Fiction
986,Rob Colton,male,July 24 2019,1955,Algeria,Gay And Lesbian
987,Heather Demetrios,female,October 14 2008,1988,Albania,Young Adult
988,Albert Cossery,male,February 26 2009,1977,Djibouti,Science Fiction
989,Lili St. Germain,female,August 20 2016,1975,Canada,Contemporary$Thriller
990,Fred Gipson,male,January 17 2017,1981,Estonia,Science Fiction$Historical$Classics
991,J.G. Farrell,male,May 21 2018,1987,Egypt,Historical
992,The Church of Jesus Christ of Latter-day Saints,male,November 13 2012,1967,Holland,Religion$Christian Fiction
993,Audrey Carlan,female,June 6 2012,1980,Ireland,Contemporary
994,Deeanne Gist,female,March 20 2011,1976,Somalia,Historical
995,Richard Stevenson,male,October 6 2008,1960,Somalia,Thriller$Gay Lesbian
996,Dahlia West,male,October 2 2007,1950,Kazakhstan,Romance
997,Adolf Hitler,male,October 19 2018,1952,Mongolia,Biographies Memoirs$Politics$History
998,Ian McGuire,male,April 4 2019,1976,Luxembourg,Science Fiction$Historical
999,Margaret George,female,October 21 2007,1982,Turkmenistan,Historical
1000,Livia Blackburne,female,October 27 2008,1951,Bissau,Young Adult
1001,Stephen Paul Register,male,December 9 2008,1965,Nauru,Biographies Memoirs
1002,Clemence McLaren,female,November 21 2019,1972,Panama,Young Adult$Children S
1003,Rhys Ford,female,October 28 2013,1986,Uruguay,Gay Lesbian
1004,Sally  Thorne,female,March 17 2009,1954,Germany,Romance
1005,Brad Boney,male,March 25 2009,1961,Tuvalu,Gay And Lesbian
1006,Kate Brian,male,December 22 2018,1958,Bahrain,Young Adult
1007,Willow Winters,female,October 2 2018,1999,Somalia,Romance
1008,Jennifer Love Hewitt,female,April 23 2008,1965,Bahamas,Comics Graphic Novels$Nonfiction
1009,Erica Ridley,female,March 17 2014,1966,Serbia,Romance
1010,Ken Dickson,male,January 6 2011,1998,St Kitts,Memoir$Fiction
1011,Randy Shilts,male,April 12 2016,1963,Serbia,Nonfiction$Gay Lesbian
1012,Deborah Diesen,female,April 3 2015,1964,Switzerland,Children S
1013,Jonathan Stroud,male,July 22 2013,1964,Algeria,Science Fiction
1014,Mya Robarts,female,December 2 2014,1975,Sierra Leone,Young Adult
1015,Marshall Thornton,male,March 25 2007,1954,Ecuador,Thriller$Gay Lesbian
1016,Angie Fox,female,May 6 2014,1954,Gabon,Mystery$Romance
1017,Marc Brown,male,February 1 2018,1954,Kuwait,Children S
1018,Ryan Michele,female,October 1 2012,1981,Tonga,Romance
1019,Angie Thomas,female,April 25 2007,1958,Belize,Young Adult
1020,Tiffany Truitt,female,November 17 2008,1971,Sweden,Young Adult
1021,Cassandra Clare,female,April 6 2010,1958,Micronesia,Science Fiction
1022,Patricia Burroughs,female,May 26 2012,1955,Bhutan,Fantasy
1023,J.D. Robb,male,December 19 2015,1952,Cuba,Suspense$Science Fiction
1024,Patricia MacLachlan,female,September 17 2016,1997,Gabon,Children S Books
1025,Albert Camus,male,March 25 2018,1983,Malta,Science Fiction$Philosophy
1026,Sara  Humphreys,female,October 15 2015,1950,Canada,Romance
1027,Daniel Quinn,male,April 11 2007,1991,Australia,Fiction$Nonfiction
1028,J. Elizabeth Hill,female,August 12 2007,1960,Tunisia,Fantasy
1029,Anthony Lavisher,male,September 13 2012,1950,Scotland,Science Fiction
1030,Sandy Williams,female,December 5 2010,1963,Namibia,Science Fiction
1031,George Selden,male,July 10 2011,1979,Nauru,Children S Books
1032,Delilah S. Dawson,female,April 13 2017,1990,Chile,Fantasy
1033,Dianne Sylvan,female,February 17 2016,1951,Solomon,Science Fiction$Religion Spirituality
1034,Lenore Hart,male,January 16 2016,1995,Herzegovina,Historical$Children S Books
1035,Sergei Lukyanenko,male,February 16 2012,1995,Egypt,Science Fiction$Fantasy
1036,W. Chan Kim,male,June 8 2018,1973,Bissau,Nonfiction$Business
1037,Laura Thalassa,female,June 22 2013,1974,Suriname,Paranormal
1038,Shay Savage,female,November 27 2010,1977,Cyprus,Science Fiction
1039,Vanessa A. Ryan,female,March 21 2012,1972,Serbia,Science Fiction$Paranormal
1040,Jonathan Cahn,male,June 3 2009,1950,Canada,Christian Fiction
1041,Veronica Roth,female,March 18 2016,1996,Antigua,Young Adult$Science Fiction
1042,Ian D.G. Sandusky,male,January 5 2007,1999,Cambodia,Horror$Thriller
1043,K.M. Golland,female,October 14 2013,1971,Montenegro,Romance
1044,Daisy Goodwin,female,December 24 2015,1975,Guinea,Historical
1045,Marjorie M. Liu,female,October 9 2013,1998,Gabon,Comic Books
1046,E.M. Havens,male,March 3 2011,1979,Japan,Fantasy
1047,Amanda Lance,female,August 21 2014,1974,America,Young Adult
1048,Rainer Maria Rilke,male,June 24 2012,1951,Liechtenstein,Poetry$Fiction
1049,David Ebershoff,male,July 5 2009,1984,Mexico,Fiction
1050,Mishell Baker,male,June 6 2012,1998,Vatican,Fantasy
1051,Kerrelyn Sparks,female,November 18 2009,1973,Macedonia,Romance
1052,Paullina Simons,female,January 21 2016,1999,Palau,Historical
1053,Iain Parke,male,March 13 2018,1971,Bulgaria,Crime
1054,Leah Thomas,female,August 1 2018,1981,Netherlands,Young Adult$Science Fiction
1055,Eliezer Yudkowsky,male,March 20 2017,1976,Turkey,Science Fiction
1056,Carrie Butler,female,October 13 2009,1991,Cameroon,Romance
1057,Melanie Dickerson,female,April 5 2012,1977,Morocco,Historical
1058,Lee Child,male,June 19 2018,1983,Guatemala,Fiction
1059,Mao Zedong,male,August 22 2018,1968,Uzbekistan,Politics$Philosophy$Poetry
1060,Akira Toriyama,male,April 6 2013,1957,Gambia,Manga$Comics Graphic Novels
1061,Margaret Stohl,female,January 23 2009,1970,Uruguay,Young Adult
1062,L.H. Cosway,male,November 26 2010,1995,China,Romance$Fantasy
1063,Karen  Prince,female,October 23 2018,1983,Croatia,Fiction
1064,Al Ries,male,May 14 2008,1963,Fiji,Business
1065,Loretta Lynn,male,September 21 2014,1969,Comoros,Memoir$Music
1066,Dana Gynther,female,September 23 2018,1964,Hungary,Historical$Fiction
1067,Jeff VanderMeer,male,August 22 2019,1991,Palau,Fiction$Science Fiction
1068,Anya Seton,female,March 3 2008,1978,Norway,Fiction
1069,Paul Van Der Merwe,male,December 22 2008,1951,Liberia,Self Help$Psychology
1070,Gretchen McNeil,female,December 27 2018,1999,Oman,Young Adult
1071,Tara Sue Me,female,December 12 2007,1989,Azerbaijan,Romance
1072,Ariana Franklin,female,July 24 2010,1977,Kosovo,Historical$Thriller
1073,T. Michael Martin,male,May 13 2019,1988,Vietnam,Young Adult
1074,Chris     Murray,male,January 11 2007,1982,Cuba,Business
1075,Laura Elizabeth Woollett,female,May 21 2016,1963,Kuwait,Contemporary$Science Fiction
1076,Diane Setterfield,female,June 21 2013,1959,Gambia,Science Fiction$Mystery
1077,Christina Mercer,female,April 7 2016,1963,Lithuania,Young Adult
1078,Joel Cornah,male,October 21 2016,1951,Romania,Fantasy
1079,Donna Ball,male,January 27 2008,1967,Welsh,Mystery$Science Fiction
1080,Elizabeth C. Bunce,male,July 4 2012,1986,America,Science Fiction$Young Adult
1081,Brandon Sanderson,male,September 2 2007,1970,Mexico,Science Fiction
1082,Simone de Beauvoir,female,June 11 2011,1972,Finland,Fiction$Nonfiction$Politics
1083,Jean Anouilh,male,February 24 2009,1968,Japan,Theatre
1084,Elizabeth Isaacs,female,August 23 2016,1980,Kazakhstan,Romance
1085,Michael Lowenthal,male,March 10 2013,1988,Scotland,Gay Lesbian$Historical
1086,Marta Acosta,female,October 5 2017,1985,Liberia,Science Fiction
1087,David Goodwillie,male,May 5 2007,1955,Ghana,Fiction$Biographies Memoirs
1088,Jessica Verdi,female,February 12 2012,1987,Poland,Young Adult
1089,Bernadette Marie,male,June 13 2013,1978,Kenya,Romance
1090,Steven D. Levitt,male,September 22 2008,1998,Argentina,Nonfiction
1091,Louisa Luna,female,February 26 2018,1967,Angola,Fiction$Thriller
1092,Leah Clifford,female,March 8 2014,1953,San Marino,Young Adult
1093,Alyssa Cole,female,July 7 2016,1958,Gambia,Romance
1094,M.T. Magee,male,September 2 2009,1950,Belize,Fantasy
1095,Jasinda Wilder,female,December 8 2012,1995,Jordan,Romance
1096,Jayne Ann Krentz,female,July 17 2019,1969,Mongolia,Romance
1097,Charlotte Huang,male,July 19 2009,1966,El Salvador,Young Adult
1098,Gabrielle Zevin,female,October 4 2009,1992,United States,Fiction
1099,Mark Walden,male,March 22 2017,1988,Grenadines,Fiction
1100,Michele Fogal,male,December 27 2013,1958,Mauritius,Romance
1101,Bel Kaufman,female,July 3 2014,1998,Kenya,Fiction
1102,Jane Harvey-Berrick,male,June 22 2012,1951,Ivory Coast,Romance$Sports and Games
1103,Jack Weatherford,male,September 7 2007,1984,Brazil,History$Science
1104,Dixie Lynn Dwyer,female,February 28 2016,1959,England,Romance
1105,Sally Hepworth,female,March 24 2017,1964,Zimbabwe,Science Fiction
1106,Kirby McCauley,male,August 16 2009,1952,Nauru,Editor
1107,Patricia Bracewell,female,March 11 2014,1973,Scotland,Historical
1108,Warsan Shire,female,January 23 2008,1989,Macedonia,Poetry
1109,Chris Crutcher,male,March 18 2014,1956,British,Fiction
1110,J. Saman,female,July 24 2011,1952,Slovakia,Contemporary
1111,Melissa Foster,female,February 2 2015,1952,Ghana,Romance$Science Fiction
1112,R.K. Narayan,male,January 11 2007,1969,Montenegro,Science Fiction$Memoir
1113,Rhiannon Thomas,female,October 25 2016,1963,Kosovo,Young Adult
1114,Red Tash,male,May 26 2012,1973,Belarus,Science Fiction
1115,Harry Harrison,male,November 14 2017,1982,Brunei,Science Fiction$Fantasy
1116,Karina Halle,female,March 27 2010,1999,Brunei,Romance
1117,Richard Peck,male,June 26 2007,1952,Eritrea,Children S Books$Fiction$Young Adult
1118,Joseph Nicolosi,male,September 14 2019,1974,Sweden,Psychology
1119,Talia Jager,male,March 11 2019,1989,Germany,Young Adult
1120,Michelle Hodkin,female,August 28 2017,1964,Spain,Young Adult
1121,Carol S. Dweck,female,June 26 2010,1984,Scotland,Psychology$Health Mind Body
1122,Mira Grant,female,October 23 2013,1954,Bolivia,Horror
1123,Harper Lee,female,January 3 2012,1974,Swaziland,Fiction
1124,Donald Ray Pollock,male,May 3 2016,1996,Luxembourg,Short Stories$Science Fiction
1125,Thierry Jonquet,male,July 7 2009,1997,Canada,Fiction$Thriller
1126,Charles Frazier,male,March 10 2014,1984,Colombia,Fiction$Historical
1127,Malcolm Bradbury,male,September 18 2016,1998,Hungary,Fiction
1128,Michael R. Fletcher,male,January 8 2015,1983,Liberia,Science Fiction
1129,William Golding,male,January 15 2018,1969,United States,Fiction
1130,Kate Constable,female,September 28 2019,1992,Romania,Science Fiction
1131,Elle Jacklee,male,March 13 2017,1954,Cyprus,Fantasy
1132,Sienna Mynx,female,September 12 2009,1983,America,Romance
1133,Andrea  Johnston,female,March 28 2019,1997,Thailand,Contemporary
1134,Paul Ekman,male,August 15 2008,1972,British,Science Fiction$Nonfiction
1135,Lance Carbuncle,male,June 14 2008,1985,Guyana,Fiction$Humor
1136,Carl Sagan,male,December 26 2018,1971,Venezuela,Science Fiction$Nonfiction
1137,Kaye Dacus,female,May 22 2009,1989,Sweden,Romance
1138,Gregory Maguire,male,March 18 2008,1961,St Kitts,Science Fiction$Children S Books
1139,Nina-Marie Gardner,female,December 13 2011,1991,Cape Verde,Fiction
1140,Katie Hamstead,female,March 11 2018,1993,Dominica,Romance
1141,Cameron Dane,male,September 10 2015,1961,Afghanistan,Romance$Gay Lesbian
1142,Wynne Channing,female,September 25 2015,1967,America,Young Adult
1143,Charles  James,male,June 2 2014,1968,Tanzania,Crime
1144,Jorge Luis Borges,male,March 25 2011,1989,Haiti,Science Fiction$Short Stories$Poetry
1145,Siobhan Dowd,female,June 26 2015,1989,Kuwait,Young Adult
1146,Mary Robinette Kowal,female,September 3 2016,1997,Malaysia,Science Fiction
1147,Suzanne  Sutherland,male,August 22 2018,1969,Tajikistan,Young Adult
1148,Dani Alexander,male,December 25 2013,1955,China,Gay Lesbian
1149,Rex Stout,male,August 22 2007,1960,Portugal,Thriller
1150,Hubert Selby Jr.,male,April 15 2018,1980,New Zealand,Fiction$Crime
1151,Thomas J. Stanley,male,July 16 2019,1988,Maldives,Fiction$Business
1152,Michael Crichton,male,November 6 2007,1968,United Kingdom,Fiction$Science Fiction
1153,Taylor V. Donovan,male,December 9 2017,1966,Kyrgyzstan,Romance
1154,James Wright,male,June 15 2019,1965,South Sudan,Poetry
1155,Yuu Moegi,male,March 13 2018,1958,Sudan,Manga
1156,Kai Meyer,male,May 16 2017,1999,New Zealand,Children S Books$Young Adult
1157,Leah Bobet,male,December 19 2018,1955,Congo,Young Adult
1158,Stuart MacBride,female,February 7 2015,1976,Somalia,Thriller
